                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.90643,                0.68769,                0.98027,                0.80425,                0.83544,                0.89247,                0.65894,                0.76698,                0.82196,                 0.8205,              0.0013268,              0.0013268,              0.0013268
                     37,                0.88746,                 0.6668,                0.97828,                0.84759,                0.80252,                0.90085,                0.65413,                0.80272,                0.70973,                0.83749,               0.001307,               0.001307,               0.001307
                     38,                0.89564,                0.68103,                0.98195,                0.84404,                0.79467,                0.89206,                0.65006,                0.77844,                 1.0472,                0.81135,              0.0012872,              0.0012872,              0.0012872
                     39,                 0.8745,                0.65968,                0.97179,                0.86073,                0.79241,                 0.8863,                0.64244,                0.84281,                0.74701,                0.84082,              0.0012674,              0.0012674,              0.0012674
                     40,                 0.8757,                0.66488,                0.97212,                0.85325,                0.82785,                0.91367,                 0.6743,                0.78409,                0.71552,                0.81074,              0.0012476,              0.0012476,              0.0012476
                     41,                0.87777,                0.66409,                0.97187,                0.81236,                0.83038,                0.88482,                0.65451,                0.77149,                0.61338,                0.82001,              0.0012278,              0.0012278,              0.0012278
                     42,                0.85944,                0.63902,                0.97099,                0.83495,                0.82278,                0.89527,                0.65454,                0.77748,                0.82876,                0.81942,               0.001208,               0.001208,               0.001208
                     43,                0.86618,                0.63153,                0.96855,                0.85695,                0.84051,                0.90929,                0.65718,                0.83045,                0.72971,                0.82243,              0.0011882,              0.0011882,              0.0011882
                     44,                0.84821,                0.62093,                0.96475,                0.82622,                0.83544,                0.90954,                0.65641,                0.86857,                0.71695,                0.82271,              0.0011684,              0.0011684,              0.0011684
                     45,                0.83981,                0.61194,                0.95893,                  0.802,                0.85109,                0.88162,                0.65663,                0.85298,                0.58786,                0.82941,              0.0011486,              0.0011486,              0.0011486
                     46,                0.84996,                0.62444,                0.96341,                0.82325,                0.86079,                0.89087,                0.63661,                0.81795,                0.86443,                0.83605,              0.0011288,              0.0011288,              0.0011288
                     47,                0.85379,                0.63255,                0.96772,                0.86318,                0.81266,                0.90164,                  0.647,                0.88332,                0.71734,                 0.8458,               0.001109,               0.001109,               0.001109
                     48,                0.84668,                0.61453,                  0.966,                0.85987,                0.85823,                 0.9118,                 0.6721,                0.82504,                0.63887,                0.82483,              0.0010892,              0.0010892,              0.0010892
                     49,                0.83502,                 0.5956,                0.96286,                0.85235,                 0.8623,                0.91381,                0.68403,                0.80864,                0.64835,                0.81254,              0.0010694,              0.0010694,              0.0010694
                     50,                0.81279,                0.58403,                0.95852,                0.89019,                0.84051,                0.91833,                 0.6887,                0.78962,                0.56514,                0.81904,              0.0010496,              0.0010496,              0.0010496
                     51,                0.81576,                0.58478,                0.95258,                0.86255,                0.87375,                0.91478,                0.67684,                 0.8624,                 1.3529,                0.83096,              0.0010298,              0.0010298,              0.0010298
                     52,                0.80572,                0.58078,                0.95219,                0.88171,                0.84915,                0.90733,                0.67546,                0.76991,                 1.0755,                0.82912,                0.00101,                0.00101,                0.00101
                     53,                0.79378,                 0.5669,                0.95041,                0.86519,                 0.8611,                0.91966,                0.67798,                0.81587,                0.89926,                0.82815,              0.0009902,              0.0009902,              0.0009902
                     54,                0.80526,                0.56809,                0.95458,                0.85004,                  0.861,                0.90458,                0.67159,                0.80932,                0.59313,                0.81772,              0.0009704,              0.0009704,              0.0009704
                     55,                0.79484,                0.56568,                0.94973,                0.89257,                0.87089,                0.93739,                0.71023,                0.78563,                0.52117,                0.79674,              0.0009506,              0.0009506,              0.0009506
                     56,                0.76851,                0.54428,                0.94768,                0.85119,                0.86885,                0.92153,                0.70522,                0.77932,                0.53286,                0.79644,              0.0009308,              0.0009308,              0.0009308
                     57,                0.78156,                 0.5541,                0.94875,                0.85395,                 0.8481,                0.91439,                0.66247,                0.86664,                0.67852,                0.80648,               0.000911,               0.000911,               0.000911
                     58,                0.76309,                0.53557,                 0.9446,                0.85967,                0.85302,                0.90606,                 0.6793,                0.82533,                0.57071,                0.79611,              0.0008912,              0.0008912,              0.0008912
                     59,                0.77277,                0.53272,                0.94589,                0.86122,                0.83268,                0.90297,                0.66562,                0.84437,                0.76257,                 0.8368,              0.0008714,              0.0008714,              0.0008714
                     60,                0.77443,                0.53733,                0.94473,                0.88403,                0.86076,                0.92325,                0.68989,                0.81555,                0.64251,                0.78494,              0.0008516,              0.0008516,              0.0008516
                     61,                0.75466,                0.52763,                0.93625,                0.87815,                0.78481,                0.89132,                0.64234,                0.85383,                0.56076,                0.86051,              0.0008318,              0.0008318,              0.0008318
                     62,                0.74919,                 0.5085,                0.93895,                0.88149,                0.88101,                0.93599,                0.70637,                0.81204,                0.53297,                0.81849,               0.000812,               0.000812,               0.000812
                     63,                0.74036,                0.51123,                0.93605,                0.87209,                0.88354,                0.92956,                0.70465,                0.80169,                0.54001,                0.82073,              0.0007922,              0.0007922,              0.0007922
                     64,                0.74391,                0.51247,                0.93799,                0.87484,                0.87342,                0.92507,                0.68582,                0.83645,                 0.6375,                 0.8179,              0.0007724,              0.0007724,              0.0007724
                     65,                0.72558,                0.48877,                0.92688,                0.85305,                0.86707,                0.92248,                0.68533,                 0.8326,                0.60773,                0.81613,              0.0007526,              0.0007526,              0.0007526
                     66,                0.71239,                0.48853,                0.93143,                0.87766,                0.83797,                0.92081,                0.68266,                0.80683,                0.73164,                0.82773,              0.0007328,              0.0007328,              0.0007328
                     67,                0.72453,                0.49593,                0.92913,                0.89895,                 0.8558,                0.93178,                 0.7067,                0.78108,                0.63033,                0.80666,               0.000713,               0.000713,               0.000713
                     68,                0.71614,                0.48877,                0.92991,                0.88972,                0.86582,                0.93107,                0.69649,                0.81841,                0.51423,                0.81607,              0.0006932,              0.0006932,              0.0006932
                     69,                 0.7055,                0.47869,                0.93069,                0.90458,                0.87089,                0.93909,                0.70923,                0.77697,                0.53988,                0.81177,              0.0006734,              0.0006734,              0.0006734
                     70,                0.70305,                0.47207,                0.92502,                0.88429,                0.85126,                0.93416,                0.70805,                0.78512,                0.49829,                0.80625,              0.0006536,              0.0006536,              0.0006536
                     71,                 0.6996,                0.47647,                0.92362,                0.87003,                0.88124,                0.92359,                0.68706,                  0.782,                0.54645,                0.79564,              0.0006338,              0.0006338,              0.0006338
                     72,                0.70254,                0.46871,                 0.9244,                0.86544,                0.87927,                 0.9156,                0.70292,                0.74795,                0.53964,                0.80804,               0.000614,               0.000614,               0.000614
                     73,                 0.6725,                 0.4475,                0.91916,                0.88458,                0.87314,                0.92751,                0.69638,                0.81718,                 0.4983,                0.81693,              0.0005942,              0.0005942,              0.0005942
                     74,                0.68595,                 0.4616,                 0.9194,                0.91209,                 0.8557,                 0.9258,                0.70893,                0.75955,                 0.4748,                0.77747,              0.0005744,              0.0005744,              0.0005744
                     75,                0.67307,                0.45184,                0.91698,                0.91771,                0.84699,                0.92982,                 0.7067,                 0.7904,                0.51147,                0.80898,              0.0005546,              0.0005546,              0.0005546
                     76,                0.66859,                0.44303,                0.91442,                 0.9004,                0.87089,                0.92147,                0.70183,                0.79649,                0.46429,                0.79825,              0.0005348,              0.0005348,              0.0005348
                     77,                0.65903,                0.44266,                0.91812,                0.87879,                0.89942,                0.93359,                0.71305,                0.77282,                0.50663,                0.80855,               0.000515,               0.000515,               0.000515
                     78,                0.66276,                0.43692,                0.91942,                0.90951,                0.87089,                0.93473,                0.70997,                0.79593,                0.47847,                0.81224,              0.0004952,              0.0004952,              0.0004952
                     79,                0.63453,                0.42628,                0.91075,                0.88833,                0.87848,                0.92273,                0.70567,                0.80601,                0.48978,                0.82189,              0.0004754,              0.0004754,              0.0004754
                     80,                0.65498,                0.43641,                0.91655,                0.87747,                0.88839,                0.92955,                0.71178,                0.78963,                0.48119,                0.81143,              0.0004556,              0.0004556,              0.0004556
                     81,                0.63859,                0.42385,                0.91019,                0.90752,                0.85823,                0.93303,                 0.7137,                0.76569,                0.48268,                0.80771,              0.0004358,              0.0004358,              0.0004358
                     82,                0.62747,                0.40936,                0.90716,                 0.8784,                 0.9038,                0.93575,                0.71726,                0.78257,                0.47244,                0.80529,               0.000416,               0.000416,               0.000416
                     83,                0.63186,                0.41339,                0.90986,                0.90646,                0.87342,                0.93897,                0.71741,                0.75957,                0.49656,                0.78657,              0.0003962,              0.0003962,              0.0003962
                     84,                0.62208,                 0.4103,                0.90766,                0.86841,                0.91886,                0.93206,                0.71378,                0.74439,                0.51182,                 0.8006,              0.0003764,              0.0003764,              0.0003764
                     85,                 0.6176,                0.40143,                0.90872,                0.88518,                0.91392,                0.93674,                0.72632,                0.75498,                 0.4993,                0.79527,              0.0003566,              0.0003566,              0.0003566
                     86,                0.61193,                0.39826,                0.90525,                0.87398,                0.88608,                0.93014,                0.70262,                0.81219,                0.51817,                 0.8145,              0.0003368,              0.0003368,              0.0003368
                     87,                0.61204,                0.39936,                0.90621,                0.88643,                 0.8962,                0.93868,                0.71584,                 0.7975,                0.48913,                0.80582,               0.000317,               0.000317,               0.000317
                     88,                0.60862,                0.39701,                0.90552,                 0.8777,                0.91139,                 0.9286,                0.70912,                0.78507,                0.51306,                0.81246,              0.0002972,              0.0002972,              0.0002972
                     89,                0.59466,                0.38496,                0.90097,                0.89565,                0.91646,                0.94583,                0.72601,                0.77918,                0.52118,                0.81369,              0.0002774,              0.0002774,              0.0002774
                     90,                0.59179,                0.38695,                0.90163,                0.90233,                0.88608,                0.92802,                0.72274,                0.75773,                0.47666,                0.80828,              0.0002576,              0.0002576,              0.0002576
                     91,                0.50528,                 0.3232,                0.88006,                0.89478,                0.87342,                0.93095,                0.71103,                0.76657,                0.97388,                0.81262,              0.0002378,              0.0002378,              0.0002378
                     92,                0.49326,                0.30599,                0.86735,                0.87837,                0.89581,                0.93682,                0.71093,                0.77069,                0.65539,                0.80261,               0.000218,               0.000218,               0.000218
                     93,                0.48031,                0.30022,                 0.8644,                0.90536,                0.89612,                0.93626,                0.71515,                0.76154,                0.62983,                0.80537,              0.0001982,              0.0001982,              0.0001982
                     94,                0.46939,                0.28862,                0.86421,                0.89722,                0.88403,                0.92882,                 0.7131,                0.75038,                0.52985,                0.80525,              0.0001784,              0.0001784,              0.0001784
                     95,                0.44766,                0.28407,                0.85974,                0.90024,                0.86835,                0.93115,                0.72219,                0.74958,                0.51458,                0.79708,              0.0001586,              0.0001586,              0.0001586
                     96,                0.45586,                  0.287,                 0.8731,                0.88315,                0.90127,                0.93071,                0.71143,                0.76726,                0.65319,                0.81239,              0.0001388,              0.0001388,              0.0001388
                     97,                0.43456,                0.27271,                0.86146,                0.91087,                0.87969,                0.94211,                0.72618,                0.72738,                0.63099,                 0.8067,               0.000119,               0.000119,               0.000119
                     98,                0.43196,                0.27669,                0.85923,                0.88356,                0.90293,                0.93156,                0.71644,                0.73589,                0.63144,                0.80674,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.42566,                0.26841,                0.86015,                0.87725,                0.90464,                0.92867,                0.71132,                0.76269,                0.64309,                0.81033,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.41543,                0.26182,                0.86445,                0.90266,                0.89214,                0.93237,                0.71064,                0.76589,                0.58142,                0.80852,               5.96e-05,               5.96e-05,               5.96e-05
